Customer ID,Region,Satisfaction Score (1–10)
C00001,East,3
C00002,North,4
C00003,East,7
C00004,Central,8
C00005,East,2
C00006,Central,5
C00007,North,5
C00008,Central,9
C00009,East,3
C00010,Central,6
C00011,West,10
C00012,Central,5
C00013,Central,2
C00014,South,2
C00015,West,4
C00016,North,4
C00017,Central,7
C00018,West,1
C00019,North,6
C00020,West,9
C00021,South,2
C00022,North,5
C00023,North,10
C00024,Central,10
C00025,East,4
C00026,North,4
C00027,North,8
C00028,South,6
C00029,South,7
C00030,South,9
C00031,Central,3
C00032,North,2
C00033,South,3
C00034,South,8
C00035,West,9
C00036,West,10
C00037,South,5
C00038,Central,8
C00039,East,7
C00040,West,9
C00041,West,4
C00042,North,10
C00043,North,3
C00044,South,9
C00045,North,8
C00046,North,7
C00047,East,1
C00048,Central,2
C00049,South,9
C00050,East,5
C00051,South,1
C00052,Central,9
C00053,South,1
C00054,North,8
C00055,Central,5
C00056,East,6
C00057,East,1
C00058,West,2
C00059,East,7
C00060,West,2
C00061,North,5
C00062,East,9
C00063,Central,5
C00064,West,3
C00065,East,6
C00066,North,7
C00067,Central,10
C00068,Central,10
C00069,North,8
C00070,East,3
C00071,South,4
C00072,East,10
C00073,West,4
C00074,West,2
C00075,East,7
C00076,West,4
C00077,South,4
C00078,South,8
C00079,Central,6
C00080,West,6
C00081,East,9
C00082,Central,4
C00083,South,9
C00084,Central,1
C00085,North,9
C00086,West,1
C00087,East,7
C00088,South,6
C00089,Central,7
C00090,East,9
C00091,West,10
C00092,East,4
C00093,West,9
C00094,West,3
C00095,West,10
C00096,Central,9
C00097,West,1
C00098,East,5
C00099,North,10
C00100,East,5
C00101,Central,1
C00102,West,1
C00103,North,3
C00104,Central,9
C00105,South,7
C00106,South,6
C00107,South,9
C00108,North,4
C00109,East,4
C00110,North,3
C00111,North,5
C00112,North,5
C00113,South,10
C00114,East,7
C00115,North,7
C00116,East,6
C00117,West,4
C00118,North,7
C00119,North,2
C00120,North,9
C00121,West,7
C00122,West,2
C00123,South,10
C00124,Central,2
C00125,East,6
C00126,Central,7
C00127,North,9
C00128,North,4
C00129,South,8
C00130,Central,10
C00131,North,2
C00132,Central,6
C00133,South,4
C00134,Central,8
C00135,East,9
C00136,South,2
C00137,Central,7
C00138,North,7
C00139,West,8
C00140,West,5
C00141,South,3
C00142,West,1
C00143,East,4
C00144,South,3
C00145,North,2
C00146,North,6
C00147,South,7
C00148,West,10
C00149,West,7
C00150,North,8
C00151,East,2
C00152,West,10
C00153,East,6
C00154,West,6
C00155,South,10
C00156,Central,1
C00157,North,2
C00158,South,9
C00159,West,8
C00160,North,4
C00161,Central,6
C00162,Central,2
C00163,West,5
C00164,North,2
C00165,West,5
C00166,Central,7
C00167,South,7
C00168,South,9
C00169,East,3
C00170,Central,4
